arch,compiler,mpi_tasks,method,test,time
Sapphire Rapids,gfortran,48,base,Convergence,216.25
Sapphire Rapids,gfortran,48,base,Convergence,216.23
Sapphire Rapids,gfortran,48,base,Convergence,219.24
Sapphire Rapids,gfortran,48,base,Convergence,216.57
Sapphire Rapids,gfortran,48,base,Convergence,216.42000000000002
Ice Lake,gfortran,16,base,Convergence,356.53000000000003
Ice Lake,gfortran,16,base,Convergence,354.41
Ice Lake,gfortran,16,base,Convergence,356.37
Ice Lake,gfortran,32,base,Convergence,294.02
Ice Lake,gfortran,32,base,Convergence,293.01
Ice Lake,gfortran,32,base,Convergence,292.64
Ice Lake,gfortran,64,base,Convergence,270.04
Ice Lake,gfortran,64,base,Convergence,270.57
Ice Lake,gfortran,64,base,Convergence,269.64
Ice Lake,gfortran,24,base,Convergence,323.05
Ice Lake,gfortran,24,base,Convergence,323.09
Ice Lake,gfortran,24,base,Convergence,326.61
Sapphire Rapids,gfortran,16,base,Convergence,296.71
Sapphire Rapids,gfortran,16,base,Convergence,297.73
Sapphire Rapids,gfortran,32,base,Convergence,232.15
Sapphire Rapids,gfortran,32,base,Convergence,233.12
Sapphire Rapids,gfortran,32,base,Convergence,231.26
Sapphire Rapids,gfortran,64,base,Convergence,207.65
Sapphire Rapids,gfortran,64,base,Convergence,209.1
Sapphire Rapids,gfortran,64,base,Convergence,206.67
Sapphire Rapids,gfortran,24,base,Convergence,260.69
Sapphire Rapids,gfortran,24,base,Convergence,260.54
Sapphire Rapids,gfortran,24,base,Convergence,260.42
Emerald Rapids,gfortran,16,base,Convergence,268.53
Emerald Rapids,gfortran,16,base,Convergence,269.56
Emerald Rapids,gfortran,16,base,Convergence,267.47
Emerald Rapids,gfortran,32,base,Convergence,211.2
Emerald Rapids,gfortran,32,base,Convergence,211.92000000000002
Emerald Rapids,gfortran,32,base,Convergence,212.21
Emerald Rapids,gfortran,64,base,Convergence,192.10999999999999
Emerald Rapids,gfortran,64,base,Convergence,193.16
Emerald Rapids,gfortran,64,base,Convergence,192.54999999999998
Emerald Rapids,gfortran,24,base,Convergence,236.57
Emerald Rapids,gfortran,24,base,Convergence,236.21
Emerald Rapids,gfortran,24,base,Convergence,237.48000000000002
Ice Lake,gfortran,48,base,Convergence,278.73
Ice Lake,gfortran,48,base,Convergence,280.15
Ice Lake,gfortran,48,base,Convergence,281.56
Emerald Rapids,gfortran,48,base,Convergence,198.31
Emerald Rapids,gfortran,48,base,Convergence,197.05
Emerald Rapids,gfortran,48,base,Convergence,202.74
Sapphire Rapids,gfortran,48,fmath,Convergence,224.52
Sapphire Rapids,gfortran,48,fmath,Convergence,224.71
Sapphire Rapids,gfortran,48,fmath,Convergence,224.45
Ice Lake,gfortran,16,fmath,Convergence,348.26
Ice Lake,gfortran,16,fmath,Convergence,348.53
Ice Lake,gfortran,16,fmath,Convergence,347.33
Ice Lake,gfortran,32,fmath,Convergence,285.53
Ice Lake,gfortran,32,fmath,Convergence,286.48
Ice Lake,gfortran,32,fmath,Convergence,287.03
Ice Lake,gfortran,64,fmath,Convergence,263.26
Ice Lake,gfortran,64,fmath,Convergence,265.79
Ice Lake,gfortran,64,fmath,Convergence,263.85
Ice Lake,gfortran,24,fmath,Convergence,316.84
Ice Lake,gfortran,24,fmath,Convergence,317.13
Ice Lake,gfortran,24,fmath,Convergence,315.81
Sapphire Rapids,gfortran,16,fmath,Convergence,302.62
Sapphire Rapids,gfortran,16,fmath,Convergence,303.98
Sapphire Rapids,gfortran,16,fmath,Convergence,304.34000000000003
Sapphire Rapids,gfortran,32,fmath,Convergence,239.67
Sapphire Rapids,gfortran,32,fmath,Convergence,239.96
Sapphire Rapids,gfortran,32,fmath,Convergence,239.9
Sapphire Rapids,gfortran,64,fmath,Convergence,216.23
Sapphire Rapids,gfortran,64,fmath,Convergence,215.94
Sapphire Rapids,gfortran,64,fmath,Convergence,215.92
Sapphire Rapids,gfortran,24,fmath,Convergence,270.89
Sapphire Rapids,gfortran,24,fmath,Convergence,269.92
Sapphire Rapids,gfortran,24,fmath,Convergence,269.86
Emerald Rapids,gfortran,16,fmath,Convergence,277.06
Emerald Rapids,gfortran,16,fmath,Convergence,277.22
Emerald Rapids,gfortran,16,fmath,Convergence,277.08
Emerald Rapids,gfortran,32,fmath,Convergence,219.83
Emerald Rapids,gfortran,32,fmath,Convergence,218.99
Emerald Rapids,gfortran,32,fmath,Convergence,220.97
Emerald Rapids,gfortran,64,fmath,Convergence,202.7
Emerald Rapids,gfortran,64,fmath,Convergence,200.02
Emerald Rapids,gfortran,64,fmath,Convergence,200.44
Emerald Rapids,gfortran,24,fmath,Convergence,245.9
Emerald Rapids,gfortran,24,fmath,Convergence,245.6
Emerald Rapids,gfortran,24,fmath,Convergence,245.17
Ice Lake,gfortran,48,fmath,Convergence,272.76
Ice Lake,gfortran,48,fmath,Convergence,273.82
Ice Lake,gfortran,48,fmath,Convergence,273.73
Emerald Rapids,gfortran,48,fmath,Convergence,205.53
Emerald Rapids,gfortran,48,fmath,Convergence,205.38
Emerald Rapids,gfortran,48,fmath,Convergence,205.66
Emerald Rapids,gfortran,48,fmath,Convergence,206.46
