arch,compiler,commit_hash,method,test,omp_threads,wallclock_seconds
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,8,1345
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,8,1334.9
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,8,1331.2
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,16,829.8
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,16,825.7
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,16,821.8
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,32,574.2
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,32,579.3
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,32,581.8
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,64,591
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,64,540.7
Emerald Rapids,gfortran,1b52195431,Method 4,15M_dynamo,64,593.5
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,8,1149
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,8,1138.4
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,8,1152.9
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,16,611.8
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,16,608.1
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,16,605.2
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,32,336.7
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,32,336.6
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,32,335.5
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,64,218.9
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,64,226.9
Emerald Rapids,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,64,219.4
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,8,440.8
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,8,440.3
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,8,444.7
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,16,348.1
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,16,351.6
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,16,350.5
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,32,306.1
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,32,307.4
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,32,303
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,64,303.3
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,64,289.9
Emerald Rapids,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,64,293.3
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,8,666.5
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,8,667.5
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,8,665.7
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,16,368.5
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,16,368.4
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,16,367.2
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,32,222.3
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,32,221
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,32,221.8
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,64,175.6
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,64,177.9
Emerald Rapids,gfortran,1b52195431,Method 4,wd_stable_h_burn,64,170.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,8,1372.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,8,1371.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,8,1370.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,16,847.8
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,16,846.8
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,16,832.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,32,583.1
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,32,582.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,32,584.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,64,501.7
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,64,502
Emerald Rapids,gfortran,2bc2f83440,Method 1,15M_dynamo,64,491
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,8,1200.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,8,1197.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,8,1200.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,16,623.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,16,623.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,16,624.2
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,32,332.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,32,337.7
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,32,336.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,64,203
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,64,200.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,64,200.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,8,667.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,8,666.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,8,667
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,16,566.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,16,566.7
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,16,566.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,32,518
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,32,516.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,32,518.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,64,500.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,64,503.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,64,497.4
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,8,675.8
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,8,673.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,8,677.8
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,16,375.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,16,375.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,16,385.2
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,32,233.2
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,32,215.6
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,32,224.3
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,64,180.9
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,64,180.5
Emerald Rapids,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,64,162.4
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,8,1287
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,8,1294.2
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,8,1293.1
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,16,807.3
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,16,806.4
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,16,804.3
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,32,562.8
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,32,562.7
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,32,563.3
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,64,470.5
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,64,479.9
Emerald Rapids,gfortran,443cecf1c2,Method 2,15M_dynamo,64,465.6
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,8,1164.9
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,8,1154.9
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,8,1158.6
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,16,603.8
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,16,605
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,16,604.7
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,32,327.2
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,32,327.8
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,32,328.5
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,64,205.8
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,64,199.8
Emerald Rapids,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,64,199.3
Emerald Rapids,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,8,436.9
Emerald Rapids,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,8,432
Emerald Rapids,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,8,435.7
Emerald Rapids,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,16,360.3
Emerald Rapids,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,16,360.9
