arch,compiler,commit_hash,method,test,omp_threads,wallclock_seconds
Ice Lake,gfortran,1b52195431,Method 4,15M_dynamo,8,1389.9
Ice Lake,gfortran,1b52195431,Method 4,15M_dynamo,16,859.5
Ice Lake,gfortran,1b52195431,Method 4,15M_dynamo,32,600.6
Ice Lake,gfortran,1b52195431,Method 4,15M_dynamo,64,538.9
Ice Lake,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,8,1445.6
Ice Lake,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,16,750.3
Ice Lake,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,32,407.7
Ice Lake,gfortran,1b52195431,Method 4,20M_pre_ms_to_core_collapse,64,254.5
Ice Lake,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,8,441.9
Ice Lake,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,16,345.5
Ice Lake,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,32,298.5
Ice Lake,gfortran,1b52195431,Method 4,5M_cepheid_blue_loop,64,289
Ice Lake,gfortran,1b52195431,Method 4,wd_stable_h_burn,8,715.5
Ice Lake,gfortran,1b52195431,Method 4,wd_stable_h_burn,16,395.7
Ice Lake,gfortran,1b52195431,Method 4,wd_stable_h_burn,32,243
Ice Lake,gfortran,1b52195431,Method 4,wd_stable_h_burn,64,184.4
Ice Lake,gfortran,2bc2f83440,Method 1,15M_dynamo,8,1442
Ice Lake,gfortran,2bc2f83440,Method 1,15M_dynamo,16,886.4
Ice Lake,gfortran,2bc2f83440,Method 1,15M_dynamo,32,612.7
Ice Lake,gfortran,2bc2f83440,Method 1,15M_dynamo,64,500.9
Ice Lake,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,8,1310.4
Ice Lake,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,16,676.7
Ice Lake,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,32,365.8
Ice Lake,gfortran,2bc2f83440,Method 1,20M_pre_ms_to_core_collapse,64,215.3
Ice Lake,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,8,688.8
Ice Lake,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,16,582.3
Ice Lake,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,32,529.8
Ice Lake,gfortran,2bc2f83440,Method 1,5M_cepheid_blue_loop,64,507.5
Ice Lake,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,8,730
Ice Lake,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,16,402.4
Ice Lake,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,32,243.2
Ice Lake,gfortran,2bc2f83440,Method 1,wd_stable_h_burn,64,168.9
Ice Lake,gfortran,443cecf1c2,Method 2,15M_dynamo,8,1405.9
Ice Lake,gfortran,443cecf1c2,Method 2,15M_dynamo,16,874.5
Ice Lake,gfortran,443cecf1c2,Method 2,15M_dynamo,32,613.4
Ice Lake,gfortran,443cecf1c2,Method 2,15M_dynamo,64,545.6
Ice Lake,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,8,1261.4
Ice Lake,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,16,653.9
Ice Lake,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,32,353.3
Ice Lake,gfortran,443cecf1c2,Method 2,20M_pre_ms_to_core_collapse,64,208.5
Ice Lake,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,8,452.2
Ice Lake,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,16,348.3
Ice Lake,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,32,296
Ice Lake,gfortran,443cecf1c2,Method 2,5M_cepheid_blue_loop,64,282.5
Ice Lake,gfortran,443cecf1c2,Method 2,wd_stable_h_burn,8,728.6
Ice Lake,gfortran,443cecf1c2,Method 2,wd_stable_h_burn,16,404.7
Ice Lake,gfortran,443cecf1c2,Method 2,wd_stable_h_burn,32,243.6
Ice Lake,gfortran,443cecf1c2,Method 2,wd_stable_h_burn,64,185.8
Ice Lake,gfortran,93c43202ce,Method 3,15M_dynamo,8,1339.5
Ice Lake,gfortran,93c43202ce,Method 3,15M_dynamo,16,838.3
